Cod,EAN,Nume,Culoare,Brand,"In stoc","Pret normal","Pret promo","Pret promo data inceput","Pret promo data sfarsit",Descriere,Imagine,"Imagini secundare",Categorie,Greutate
TEROA-170,5902021524860,"Geanta pentru carucior Caretero CLASSIC Red",Rosu,CARETERO,1,75.0000,,,,"<p><strong>Design placut</strong>&nbsp;- Geanta practica pentru diverse utilizari: plimbari cu copilul, cumparaturi, fitness<br /><strong>Materiale durabile</strong><br /><strong>Banda autoadeziva</strong>&nbsp;pentru acces rapid la continut<br /><strong>Diverse buzunare</strong>&nbsp;pentru tot felul de lucruri<br /><strong>Buzunar cu fermoar</strong>&nbsp;pe partea din spate a gentii<br /><strong>Curele</strong>&nbsp;pentru montarea&nbsp;<strong>pe carucior</strong>&nbsp;sau pentru purtarea&nbsp;<strong>pe umar</strong>&nbsp;(100 cm lungime)</p>
<p><strong>DATE TEHNICE:</strong></p>
<p><strong>Lungime: </strong>40 cm<br /><strong>Latime:</strong> 20 cm<br /><strong>Inaltime:</strong> 30 cm</p>",https://www.puimic.ro/media/catalog/product//t/d/tdw_classic_czerwony1.jpg,"https://www.puimic.ro/media/catalog/product//t/d/tdw_classic_jasnoszary7_1.jpg, https://www.puimic.ro/media/catalog/product//t/d/tdw_classic_czerwony1.jpg","La plimbare/Carucioare/Genti pentru carucior>La plimbare/Carucioare>La plimbare>La plimbare/Carucioare/Genti>Genti>La plimbare/Carucioare>La plimbare",1.0000
SILLO-0120,5902021524167,"Saltea Sensillo MEMORY TERMO Cocos-Spuma-Cocos cu Aloe Vera 120x60x12 cm ",Alb,SENSILLO,1,195.0000,,,,"<p>Salteaua&nbsp;<strong>Sensillo MEMORY TERMO</strong> Cocos-Spuma-Cocos cu Aloe Vera, o saltea cu patru straturi si o grosime de aproximativ 12 cm, este cel mai nou produs din gama si utilizeaza o tehnologie cu adevarat extraordinara: sub influenta caldurii corpului, stratul de <strong>spuma MEMORY</strong>&nbsp;(uc grosimea de 2 cm) se adapteaza la forma acestuia. Este hipoalergenic si are proprietati ortopedice.</p>
<p>Cele <strong>doua straturi de nuca de cocos&nbsp;</strong>(1 cm fiecare) rigidizeaza intreaga structura a saltelei. Cocosul nu retine praful si asigura un microclimat optim pentru pielea copilului. Este autoventilant, iar circulatia libera a aerului impiedica mentinerea umezelii.&nbsp;</p>
<p>Stratul de <strong>spuma poliuretanica</strong> foloseste tehnologia&nbsp;<strong>spatiu</strong>, avand canale transversale pentru o mai buna elasticitate.</p>
<p>Cele doua straturi aditionale de material netesut pufos de sub husa confera o&nbsp;finete&nbsp;suplimentara.</p>
<p>Husa detasabila realizata din tesatura cu Aloe Vera este foarte delicata la atingere si are proprietati antialergice si antibacteriale. Poate fi spalata la 40&deg;C.</p>
<p><strong>Salteaua este&nbsp;avizata pozitiv de catre Institutul Mamei si Copilului din Polonia.</strong></p>
<p><strong>Salteaua este fabricata in Polonia.</strong></p>
<p><strong>DATE TEHNICE:</strong></p>
<p><strong>Lungime:&nbsp;</strong>120 cm<br /><strong>Latime:&nbsp;</strong>60 cm<br /><strong>Grosime:&nbsp;</strong>12 cm<br /><strong>Varsta: </strong>0+ luni</p>",https://www.puimic.ro/media/catalog/product//s/a/saltea-sensillo-memory-termo-cocos-spuma-cocos-cu-aloe-vera-120x60cm_6.jpg,"https://www.puimic.ro/media/catalog/product//k/p/kpm_1-1.jpg, https://www.puimic.ro/media/catalog/product//k/p/kpm_1p_new.jpg, https://www.puimic.ro/media/catalog/product//k/p/kpm_2.jpg, https://www.puimic.ro/media/catalog/product//k/p/kpm_4.jpg, https://www.puimic.ro/media/catalog/product//k/p/kpm_3.jpg, https://www.puimic.ro/media/catalog/product//k/p/kpm_5.jpg, https://www.puimic.ro/media/catalog/product//a/l/aloevera_sesja1.jpg","Saltele 120x60 cm>Saltele copii>Saltele",4.0000
SILLO-01411,5902021523825,"Saltea Sensillo LUXE Hrisca-Spuma-Cocos cu Aloe Vera 120x60 cm",Alb,SENSILLO,1,159.0000,,,,"<p><strong>Saltea cu 3 straturi</strong> (hrisca-spuma-cocos) cu dimensiunea de 120x60 cm, care asigura confortul bebelusilor in timpul somnului. Structura cu tuburi umplute cu hrisca adapteaza salteaua la forma corpului copilului si inhiba dezvoltarea microflorei si acarienilor.</p> <p>Salteaua este compusa dintr-un<strong> strat de cocos </strong>(1 cm grosime), invelt in vata pufoasa, un <strong>strat de hrisca</strong> (2 cm) si <strong>un strat de spuma poliuretanica</strong> (7 cm).</p> <p>Stratul de fibra de cocos rigidizeaza structura saltelei si impiedica acumularea umezelii datorita proprietatilor ventilante ale cocosului si tuburilor cu hrisca.</p> <p>Se poate utiliza in majoritatea patuturilor de lemn sau pliabile</p> <p><strong>Grosimea de aproximativ 11 cm</strong> asigura un somn confortabil si odihnitor</p> <p>Husa realizata din material cu <strong>Aloe Vera</strong> are proprietati antibacteriene si hipoalergenice si poate fi scoasa si spalata</p> <p><strong><strong>Salteaua este avizata pozitiv de catre Institutul Mamei si Copilului din Polonia.</strong></strong></p> <p><strong>Salteaua Sensillo LUXE cu Aloe Vera este produsa in Polonia.</strong></p> <p><strong>DIMENSIUNI:</strong></p> <ul><li><strong>Lungime: </strong>120 cm</li> <li><strong>Latime:</strong> 60 cm</li> <li><strong>Grosime: </strong>11 cm</li> </ul><p><strong>VARSTA: </strong>0+ luni</p> <p><strong>SPALARE: </strong>40°C</p> <p><strong>GARANTIE:</strong> 24 luni</p>",https://www.puimic.ro/media/catalog/product//g/p/gpk_luxe_new.jpg,"https://www.puimic.ro/media/catalog/product//g/p/gpk_luxe1p_new.jpg, https://www.puimic.ro/media/catalog/product//g/p/gpk_luxe_kokos.jpg, https://www.puimic.ro/media/catalog/product//g/p/gpk_luxe_gryka.jpg, https://www.puimic.ro/media/catalog/product//g/p/gpk_luxe5.jpg, https://www.puimic.ro/media/catalog/product//a/l/aloevera_sesja1_1.jpg, https://www.puimic.ro/media/catalog/product//g/p/gpk_luxe4.jpg","Saltele 120x60 cm>Saltele copii>Saltele",2.1000
TEROA-102,5902021522101,"Husa de ploaie Caretero pentru carucior sport Standard",,CARETERO,1,25.0000,,,,"<p>Husa de ploaie protejeaza copilul si caruciorul de vremea rea. Realizata din folie groasa, sigura pentru sanatatea copilului, rezistenta la temperaturi inalte si joase. Husa a fost testata de Institutul National al Igienei in privinta calitatii materialelor si manoperei.&nbsp;</p>
<p>Usor de montat si demontat</p>
<p>Se curata usor cu o carpa umeda</p>
<p>Aprobat de&nbsp;PZH (Institutul National al Igienei) in concordanta cu Directivele 202 / 72we si 1935/2004</p>",https://www.puimic.ro/media/catalog/product//h/u/husa-de-ploaie-pentru-carucior-sport_10.jpg,"https://www.puimic.ro/media/catalog/product//f/o/folia_wozek03.jpg, https://www.puimic.ro/media/catalog/product//f/o/folia_wozek04.jpg, https://www.puimic.ro/media/catalog/product//f/o/folia_wozek05.jpg, https://www.puimic.ro/media/catalog/product//f/o/folia_wozek02.jpg","La plimbare/Carucioare>La plimbare>La plimbare/Carucioare/Accesorii pentru carucior>Accesorii>La plimbare/Carucioare/Accesorii carucior>La plimbare/Carucioare>La plimbare",1.0000
SILLO-0140,5902021523702,"Saltea Sensillo LUXE Cocos-Spuma-Cocos 120x60x11 cm cu Aloe Vera",Alb,SENSILLO,1,149.0000,,,,"<p><strong>Saltea cu 3 straturi</strong> (cocos-spuma-cocos) cu dimensiunea de 120 x 60 cm</p> <p>Salteaua este compusa din <strong>doua straturi de cocos </strong>(1 cm grosime fiecare), invelte in vata pufoasa, si <strong>un strat de spuma poliuretanica</strong> (7 cm).</p> <p>Se poate utiliza in majoritatea patuturilor de lemn sau pliabile</p> <p><strong>Grosimea de aproximativ 11 cm</strong> asigura un somn confortabil si odihnitor</p> <p>Husa realizata din material cu <strong>Aloe Vera</strong> are proprietati antibacteriene si hipoalergenice si poate fi scoasa si spalata</p> <p><strong>Salteaua Sensillo LUXE cu Aloe Vera este produsa in Polonia.</strong></p> <p><strong>DIMENSIUNI:</strong></p> <ul><li><strong>Lungime: </strong>120 cm</li> <li><strong>Latime:</strong> 60 cm</li> <li><strong>Grosime: </strong>11 cm</li> </ul><p><strong>VARSTA: </strong>0+ luni</p> <p><strong>GARANTIE:</strong> 24 luni</p>",https://www.puimic.ro/media/catalog/product//k/p/kpk_luxe1_new.jpg,"https://www.puimic.ro/media/catalog/product//k/o/kokos-pianka-kokos_srodek.jpg, https://www.puimic.ro/media/catalog/product//m/a/materac_kokos_warstwy.jpg, https://www.puimic.ro/media/catalog/product//k/p/kpk_luxe1p_new.jpg, https://www.puimic.ro/media/catalog/product//m/a/materac_kokos_warstwy1.jpg, https://www.puimic.ro/media/catalog/product//m/a/materac_kokos_warstwy_poszycie.jpg, https://www.puimic.ro/media/catalog/product//k/p/kpk_luxe1_new.jpg, https://www.puimic.ro/media/catalog/product//a/l/aloevera_sesja3.jpg","Saltele 120x60 cm>Saltele copii>Saltele",2.1000
SILLO-0129,5902021523795,"Saltea Sensillo LATEX Cocos-Spuma-Cocos cu Aloe Vera 120x60x12 cm",Alb,SENSILLO,1,249.0000,,,,"<p>Salteaua <strong>Sensillo LATEX </strong>este compusa din <strong>patru straturi: </strong>un<strong> strat de latex perforat </strong>(2 cm), doua <strong>straturi de cocos </strong>invelite in vata pufoasa (1 cm fiecare) si un <strong>strat de spuma poliuretanica</strong> (6 cm) .</p> <p>Perforatiile latexului si spumei poliuretanice asigura o excelenta circulatie a aerului</p> <p>Straturile de cocos impiedica formarea acarienilor, nu retin umezeala si asigura un microclimat sanatos in contact cu pielea copilului</p> <p>Husa realizata din material cu Aloe Vera este extrem de delicata la atingere si are proprietati antialergice si antibacteriene </p> <p>Se poate folosi in majoritatea patuturilor pliabile sau traditionale</p> <p><strong>Grosimea de aproximativ 12 cm</strong>, asigura un somn linistit si odihnitor copiilor</p> <p>Husa este detasabila si lavabila</p> <p><strong>Fiecare componenta a saltelei respecta standardul OEKO-TEX 100</strong></p> <p><strong>Saltea Sensillo Latex-cocos-spuma-cocos cu Aloe Vera este fabricata in Polonia.</strong></p> <p><strong>DIMENSIUNI:</strong></p> <ul><li><strong>Lungime: </strong>120 cm</li> <li><strong>Latime: </strong>60 cm</li> <li><strong>Grosime: </strong>12 cm</li> </ul><p><strong>VARSTA: </strong>0+ luni</p> <p><strong>GARANTIE: </strong>24 luni</p>",https://www.puimic.ro/media/catalog/product//l/p/lpkp_1_new_1.jpg,"https://www.puimic.ro/media/catalog/product//l/a/lateks_pianka_kokos_warstwy_poszycie_1.jpg, https://www.puimic.ro/media/catalog/product//l/a/lateks_1.jpg, https://www.puimic.ro/media/catalog/product//l/p/lpkp_1p_new_1.jpg, https://www.puimic.ro/media/catalog/product//l/p/lpkp_1_new_1.jpg, https://www.puimic.ro/media/catalog/product//l/p/lpkp_1.jpg, https://www.puimic.ro/media/catalog/product//l/p/lpkp_kokos_1.jpg, https://www.puimic.ro/media/catalog/product//a/l/aloevera_sesja2_1.jpg","Saltele 120x60 cm>Saltele copii>Saltele",2.1000
SILLO-205,5902021522453,"Perna antisufocare pentru patut Sensillo CLASSIC 38x60 cm",Alb,SENSILLO,1,39.0000,,,,"<p>Perna in forma de pana pentru o respiratie usoara</p> <p>Husa placuta la atingere, detasabila, cu fermoar, realizata din poliester 100%<br />Perforatiile pe toata suprafata spumei previn transpiratia excesiva<br />Materiale de inalta calitate<br />Usor de curatat</p> <p>Perna antisufocare pentru patut este fabricat in Polonia.</p>",https://www.puimic.ro/media/catalog/product//k/l/klin_lozeczko_01.jpg,"https://www.puimic.ro/media/catalog/product//k/l/klin_lozeczko_02.jpg, https://www.puimic.ro/media/catalog/product//k/l/klin_lozeczko_03.jpg, https://www.puimic.ro/media/catalog/product//k/l/klin_lozeczko_04.jpg, https://www.puimic.ro/media/catalog/product//k/l/klin_lozeczko_05.jpg, https://www.puimic.ro/media/catalog/product//k/l/klin_lozeczko_06.jpg, https://www.puimic.ro/media/catalog/product//k/l/klin_lozeczko_wpokoiku_07.jpg",Perne>SENSILLO>Perne,1.0000
SILLO-2053,5902021525423,"Perna antirostogolire pentru bebelusi",Alb,SENSILLO,1,45.0000,,,,"<p>Perna cu doua pene triunghiulare destinata bebelusilor&nbsp;care trebuie sa stea in pozitie laterala in conditii de siguranta.</p>
<p>Forma penelor limiteaza posibilitatea rasucirii pe burta si impiedica regurgitarea si sufocarea in timpul somnului.&nbsp;</p>
<p>Materialele folosite asigura circulatia adecvata a aerului.</p>
<p>Perna este lavabila.</p>
<p><strong>Perna este produsa in Polonia.</strong></p>
<p><strong>DATE TEHNICE:</strong></p>
<p><strong>Varsta:</strong> 0+ luni<br /><strong>Lungime:</strong> 54 cm<br /><strong>Latime:</strong> 38 cm<br /><br /></p>",https://www.puimic.ro/media/catalog/product//b/t/bt1.jpg,"https://www.puimic.ro/media/catalog/product//b/t/bt3.jpg, https://www.puimic.ro/media/catalog/product//b/t/bt2.jpg, https://www.puimic.ro/media/catalog/product//b/t/bt1.jpg",Siguranta>Siguramta>Siguranta,1.0000
SILLO-3098,5902021524211,"Spirala cu jucarii pentru patut/carucior Sensillo Tiger",Multicolor,SENSILLO,1,55.0000,,,,"<p>Spirala educativa cu jucarii amuzante: <strong>Motanelul Portocaliu </strong>are labele si coada concepute pentru a deprinde reflexele de prindere si tragere.&nbsp;<strong>Elefantelul Albastru</strong>&nbsp;stimuleaza auzul si ascultarea prin fosnete si zornaieli, iar copilul invata sa recunoasca si sa deosebeasca sunetele din jurul sau. Si, in sfarsit,&nbsp;<strong>Steluta Eleganta</strong>, care nu se desparte niciodata de oglinda sa si in care micutul isi poate vedea propria imagine.</p>
<p>Jucaria poate fi agatata de patul copilului, de bara caruciorului sau de manerul cosului auto.</p>
<p>Ajuta copilul sa recunoasca forme, culori si sunete.</p>
<p>Inzestrat cu un modul cu vibratii care calmeaza copilul si ii capteaza atentia.</p>
<p>Culori vii si vesele si materiale de calitate (plus si poliester).</p>
<p>Intretinere si curatare usoara.</p>
<p>Frumos ambalata, poate fi oferita cadou.</p>
<p>Jucaria este conceputa si produsa in Polonia.</p>
<p><strong>DATE TEHNICE</strong></p>
<p><strong>Lungime Max.</strong> 30 cm<br /><strong>Latime Max.</strong> 16 cm<br /><strong>Varsta:</strong> 0+ luni</p>",https://www.puimic.ro/media/catalog/product//s/p/spirala-cu-jucarii-pentru-patut-carucior-tiger_15.jpg,"https://www.puimic.ro/media/catalog/product//t/i/tiger_02.jpg, https://www.puimic.ro/media/catalog/product//t/i/tiger_04.jpg, https://www.puimic.ro/media/catalog/product//t/i/tiger_05.jpg, https://www.puimic.ro/media/catalog/product//t/i/tiger_03.jpg, https://www.puimic.ro/media/catalog/product//t/i/tiger_06.jpg, https://www.puimic.ro/media/catalog/product//t/i/tiger_08.jpg, https://www.puimic.ro/media/catalog/product//t/i/tiger_07.jpg","Accesorii pentru carucior>Accesorii carucior>Accesorii carucior",1.0000
TEROA-1061,5902021527656,"Miniorganizator Caretero pentru carucior",Negru,CARETERO,1,39.0000,,,,"<p>Miniorganizator universal pentru carucior, usor&nbsp;si rezistent<br />Se poate plia si pastra&nbsp;in sertar<br />Este potrivit pentru cele mai importante lucruri de care avem mereu nevoie la īndemāna, datorita compartimentelor din interior:</p>
<p>Doua compartimente pentru sticlute<br />Compartimentul principal pentru mici gustari<br />Doua buzunare interioare pentru servetele, bilete, pix etc.<br />Un buzunar cu fermoar pentru chei sau telefon</p>
<p><strong>DATE TEHNICE:</strong></p>
<p><strong>Lungime</strong> 35 cm<br /><strong>Latime</strong> 8 cm<br /><strong>Inaltime</strong> 14 cm</p>",https://www.puimic.ro/media/catalog/product//m/i/miniorganizator-pentru-carucior_16.jpg,https://www.puimic.ro/media/catalog/product//m/i/mini-org_01.jpg,"La plimbare/Carucioare>La plimbare>La plimbare/Carucioare/Accesorii pentru carucior>Accesorii>La plimbare/Carucioare/Accesorii carucior>La plimbare/Carucioare>La plimbare",1.0000
